itemCode,itemName,mainUnit,subUnit,convertRate
RM00001,ผงหมูแดง / Char Siu Powder / 붉은 돼지고기 가루,Kilogram (kg) / กิโลกรัม,Gram (g) / กรัม,1000
RM00002,ชุดสมุนไพร กต. / Herbal medicine set (KT). / 쌀국수 허브세트,Set / ชุด,Set / ชุด,1
RM00003,พริกไทยดำเม็ด / Black peppercorns / 흑후추,Bag / ถุง,Gram (g) / กรัม,500
RM00004,พริกไทยขาวป่น / Ground white pepper / 흰후추가루,Bag / ถุง,Gram (g) / กรัม,400
RM00005,โป๊ยกั๊ก / Star anise / 스타 아니스,Bag / ถุง,Gram (g) / กรัม,200
RM00006,เก๋ากี๊ / Goji berries / 구기자,Bag / ถุง,Gram (g) / กรัม,200
RM00007,อบเชย / cinnamon / 계피,Bag / ถุง,Gram (g) / กรัม,200
RM00008,ผงกะหรี่ / Curry powder / 카레 가루,Bag / ถุง,Gram (g) / กรัม,500
RM00009,เต้าหู้ยี้ / pickled bean curd / 삭인 두부,Jar / ขวด,Gram (g) / กรัม,300
RM00010,พริกแกงเผ็ด / spicy curry paste / 레드카레 소스,Bag / ถุง,Gram (g) / กรัม,100
RM00011,พริกแกงเขียวหวาน / Green curry paste / 그린카레 소스,Bag / ถุง,Gram (g) / กรัม,100
RM00012,พริกแกงแพนง / Panang curry paste / 땅공카레 소스,Bag / ถุง,Gram (g) / กรัม,100
RM00013,พริกแกงมัสมั่น / Massaman curry paste / 맛싸만카레 소스,Bag / ถุง,Gram (g) / กรัม,100
RM00014,แป้งมัน / tapioca flour / 타피오카전분,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00015,ใบมะกรูดอบแห้ง / Dried kaffir lime leaves / 바이마꾸행,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00016,หน่อไม้กระป๋อง / Canned bamboo shoots / 죽순캔,Can / กระป๋อง,Gram (g) / กรัม,565
RM00017,หน่อไม้ซุป / Bamboo shoot soup / 삶은 죽순,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00018,ผักกาดดอง / pickled cabbage / 절인 양배추,Bag / ถุง,Kilogram (kg) / กิโลกรัม,1
RM00019,กะปิ / shrimp paste / 새우 페이스트,Bag / ถุง,Gram (g) / กรัม,400
RM00020,น้ำพริกเผา / Chili paste / 남픽파우,Bottle / ขวด,Gram (g) / กรัม,500
RM00021,น้ำมันพริกเผา / Chili oil / 남만픽파우,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,500
RM00022,น้ำปลาทิพรส / Tiparos fish sauce / 디파롯,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00023,ซอสปรุงรสฝาเขียว / Green cap soy sauce / 솟푸캉우 1L.,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,1000
RM00024,เต้าเจี้ยว / bean paste / 또우찌오,Bottle / ขวด,Gram (g) / กรัม,500
RM00025,ซีอิ้วขาวใหญ่ / Light soy sauce / 씨유카우(대),Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00026,ซีอิ้วดำ / dark soy sauce / 씨유담,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00027,ซีอิ้วดำเค็ม / Salty dark soy sauce / 씨유담켐,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00028,ซีอิ้วดำหวาน / Sweet dark soy sauce / 씨유담완,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00029,น้ำมะนาวรวมรส / Mixed flavor lemonade / 남마나우루엄롯,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00030,ผงมะนาวคนอร์ / Knorr Lemon Powder / 라임가루,Bag / ถุง,Gram (g) / กรัม,400
RM00031,มะขามเปียก / Tamarind paste / 마캄삐약,Bag / ถุง,Gram (g) / กรัม,180
RM00032,น้ำตาลปี๊บ / palm sugar / 남딴삡,Bucket / ถัง,Kilogram (kg) / กิโลกรัม,10
RM00033,น้ำตาลกรวด / Rock sugar / 남딴꾸왓,Bag / ถุง,Gram (g) / กรัม,500
RM00034,ผงชูรส / monosodium glutamate / 봉추롯 500ml.,Bag / ถุง,Gram (g) / กรัม,500
RM00035,รสดีหมูใหญ่ / Ros Dee Moo Yai / 롯디무(대),Bag / ถุง,Gram (g) / กรัม,400
RM00036,รสดีกะเพรา / Delicious Basil / 롯디까파우,Bag / ถุง,Gram (g) / กรัม,400
RM00037,คนอร์ต้มยำ / Knorr Tom Yum / 카노똠얌,Bag / ถุง,Gram (g) / กรัม,400
RM00038,น้ำปลาหยดทอง / Golden Drop Fish Sauce / 남빠욧텅,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00039,น้ำปลาร้าแซบ / Spicy fermented fish sauce / 빠라쎕,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00040,น้ำปลาร้านางฟ้า / Nang Fah Fish Sauce / 빠라낭파,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00041,น้ำปลาร้าแม่บุญล้ำ / Mae Boonlam fermented fish sauce / 빠라메불람,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,700
RM00042,ซอสเย็นตาโฟ / Yentafo sauce / 엔타포,Bottle / ขวด,Milliliter (ml) / มิลลิลิตร,500
RM00043,เส้นบะหมี่ / Noodles / 바미르앙,Bag / ถุง,Gram (g) / กรัม,500
RM00044,เส้นเล็กเวียดนาม / Vietnamese thin noodles / 비지후티코,Bag / ถุง,Gram (g) / กรัม,500
RM00045,เส้นเล็กคาดแดง / Thin red stripe / 비폰후티우코,Bag / ถุง,Gram (g) / กรัม,500
RM00046,เส้นผัดไทยคาดแดง / Red-striped Pad Thai noodles / 반포코,Bag / ถุง,Gram (g) / กรัม,500
RM00047,เส้นผัดไทย / Pad Thai noodles / 반포코,Bag / ถุง,Gram (g) / กรัม,500
RM00048,เส้นใหญ่ / Thick noodles / 센야이,Bag / ถุง,Gram (g) / กรัม,500
RM00049,เส้นหมี่ไวไว / Wai Wai vermicelli / 얇은면,Pack / แพ็ค,Gram (g) / กรัม,180
RM00050,เส้นขนมจีนอบแห้ง / Dried rice noodles / 분투이,Bag / ถุง,Gram (g) / กรัม,500
RM00051,วุ้นเส้น / vermicelli / 운센 80g.,Bag / ถุง,Gram (g) / กรัม,80
RM00052,กะทิชาวเกาะ 1000ml. / Chaokoh Coconut Milk / 차오컥팩 1000ml.,Pack / แพ็ค,Milliliter (ml) / มิลลิลิตร,1000
RM00053,กะทิชาวเกาะ 500ml. / Chaokoh Coconut Milk / 차오컥팩 500ml.,Pack / แพ็ค,Milliliter (ml) / มิลลิลิตร,500
